"class_f","race_m","pop","pct_class","labelpos"
"Reserve Army","White",6414663,76,76
"Reserve Army","Black",2023449,24,100
"Working-Class","White",32126306,82,82
"Working-Class","Black",7097689,18,100
"Professionals","White",12786073,90,90
"Professionals","Black",1350933,10,100
"Capitalists","White",2860031,92,92
"Capitalists","Black",240585,8,100
